set	klse
379.97	906.67
366.17	929.46
357.77	927.7
343.53	932.47
336.54	920.71
345.67	912.66
339.37	910.74
350.22	917.85
343.4	950.62
333.36	933.47
325.99	917.29
319.68	903.8
307.23	898.91
313.08	884.57
308.45	907.25
307.82	903.21
323.29	911.51
327.6	904.53
339.28	891.25
352.6	881.39
345.43	871.79
340.83	855.24
344.58	842.24
341.35	861.3
340.7	858.9
334.99	865.45
345.43	862.12
344.49	836.19
340.66	813.29
339.77	812.62
338.12	835.19
334.03	822.59
333.31	812.25
330.73	803.87
334.18	817.42
334.48	841.54
323.35	830.25
325.69	833.37
319.26	793.93
316.66	807.87
322.85	818.69
318.42	815.68
322.87	820.47
326.62	837.59
325.72	845.51
323.93	859.34
320.45	860.77
315.58	856.24
313.39	838.03
314.54	840.85
307.85	835.3
305.66	831.08
293.13	822.89
295.59	819.88
291.43	814.96
294.22	807.81
291.6	799.09
284.67	798.83
295.49	804.59
301.22	802.53
307.97	809.87
311.42	814.99
306.72	814.26
318.15	825.52
315.02	819.11
309.42	808.62
316.6	802.53
321.44	806.74
327.46	810.47
322.5	821.53
319.22	819.59
312.66	809.4
316.48	807.89
308.37	809.05
307.32	802.84
306.84	799.26
305.72	796.39
309.24	798.49
309.67	795.84
310.73	767.02
309.01	743.52
308.25	751.58
302.51	749.55
298.31	743.64
297.07	739.81
290.34	727.15
288.03	729.95
290.55	745.07
287.21	747.17
293.3	752.61
286.81	741.21
287.16	741.53
282.23	750.04
283.13	747.16
274.14	739.57
280.25	735.61
282.08	735.54
285.38	728.46
279.75	720.85
277.29	713.51
276.69	703.95
271.38	708.54
271.85	707.9
269.51	704.16
267.68	709.55
261.29	704.99
256.98	711.25
250.6	714.25
257.74	737.88
254.26	750.04
258.08	766.18
259.95	765.2
268.18	772.03
276.19	774.2
276.6	778.99
275.48	786.49
271.1	796.22
274.34	791.08
270.34	774.31
271.84	752.36
279.77	758.12
280.3	749.43
287.84	760.3
291.93	763.69
292.36	763.84
299.37	758.23
293.59	753.14
293.23	752.44
287.18	737.2
288.28	745.25
288.75	737.68
289.99	730
294.71	735.09
288.41	739.04
287.06	727.08
283.58	720.67
284.22	708.87
285.42	713.63
284.73	731.09
283.67	738.42
282.9	732.25
277.92	729.95
273.86	725.69
271.47	723.76
272.03	741
272.71	735.97
273.69	733.49
269.62	724.89
271.92	719.25
271.29	712.5
273.17	700.44
271.19	711.1
271.09	710.86
269.91	705.51
269.85	700.96
267.09	696.39
264.86	679.64
272.03	657.52
278.75	663.87
286.76	670.18
295.84	675
298.37	674.54
293.65	679.79
295.06	675.77
311.25	678.9
317.51	682.66
308.42	679.29
