R_SG,R_TH
-0.542157935,-0.386285171
0.0371166,-2.068244559
-0.606264875,-2.061302739
0.42614607,1.790511865
-0.607361182,-2.33952863
0.353423225,-2.048693312
-0.275061142,0.427216834
-0.478297928,-0.186682827
-2.608947853,-0.724926349
-0.980576884,0.075890532
0.87015932,-0.640550144
3.226329548,-0.869056702
-1.805014598,-3.081076894
-0.016678046,-2.32689318
1.314728513,-0.684881804
0.136229648,-0.5763409
-0.058067684,-4.105142191
-1.65280169,-5.50634861
0.606970278,-0.780972598
-0.481105594,-0.333578266
-3.686186149,-2.313961283
-2.244184144,-1.879758305
-1.069028688,-1.684660401
0.547077855,4.267351122
1.323980606,-0.252564635
0.352639262,1.569121331
3.096723287,3.424044484
0.416844928,5.737222831
1.466521203,-1.281989931
1.280904353,-4.240803182
-0.87545203,1.927567818
0.428095477,-3.297821565
-0.199066779,0.40727166
-0.596985706,-1.720662627
-0.540874861,-1.878268139
-0.743501755,0.818059516
-0.071752289,0.315804846
0.709976266,0.09550187
0.411575942,2.308019758
-0.816959905,2.029523517
1.077046208,3.650865806
0.091572716,-1.667090344
0.616965872,-1.535074299
1.024837801,-0.903097489
-0.664201886,0.596885526
-0.730877253,0.557043655
-1.334871139,-0.453045179
-1.13467545,-1.159199349
-0.012762835,-1.948573258
0.089836997,-1.321738613
-1.098985547,0.69145271
2.114517883,1.185561496
-1.246400694,-0.299766032
0.029819433,-1.478176015
-1.243962383,1.972309201
-2.776141795,-0.751523913
1.274926883,-1.123713608
-1.792826661,-3.116708822
-1.329187801,-0.308614919
-2.257653912,0.71015502
-6.801865275,-3.492936338
0.129103613,-0.6071023
-7.888127363,-6.35003848
2.920146142,-0.793067035
0,-2.675693012
2.85746517,0.475177404
7.168982682,0.051416756
0.574070178,6.675842035
-0.804977134,1.818909941
-0.559792646,-1.821000569
-1.14702398,3.031034208
-0.453382247,-1.039785918
1.219326951,-4.18523649
0.100300018,0.305128743
0.290243297,-3.371276176
0.564445091,0.672027829
-0.094736261,-3.338316536
-0.569125947,-0.394558335
-0.477155072,-1.317343236
-2.404691427,-2.846494208
0.083449325,-0.13984856
2.37357913,-2.257313064
-2.130329193,-3.858236097
0.433340577,1.30517779
-0.15614979,-0.589103324
0.580996694,-0.996359985
2.00317896,-2.020425546
0.181043556,-2.46061781
-0.057167275,-0.201186006
0.232002271,2.973527176
3.092438926,3.296654327
-1.11301807,-2.809123853
-4.116514712,-5.028743216
-1.898603096,-0.843362209
-2.000301725,-0.179318637
-2.459656188,0.691050297
0.495648134,1.575510859
1.385694698,2.939153862
-1.188375627,-0.551364921
-1.988338802,-2.177992154
-0.346983415,-2.710499079
2.357575736,-0.730439458
-1.307977745,-1.960330614
-2.252526469,0.45816535
-0.205093106,1.94598945
-2.571007583,0.098360664
-3.345834753,1.110745346
-3.992357952,0.010802344
-8.276888226,-2.776435048
-7.25146722,-2.958628964
-8.143279878,-3.048839596
9.080471624,2.845584584
4.469888845,5.22828894
-1.525456753,-0.972924512
2.259932866,5.055015177
7.84574153,9.390643078
-1.082869776,-1.660893053
-0.395876806,4.505575133
-3.46165335,-2.825668866
-1.472106808,0.490714178
0.281365081,0.387075939
12.73043476,27.50707876
-1.172392131,-10.02802861
1.962004328,4.924309194
2.313294598,0.912769084
-0.994462073,-1.027688889
